FundClassId,Symbol,DisplayName,CategoryName,InceptionDate,PriceDate,MSPrice,csrsPrice,ourkuPrice,PerformanceId
0P00016XE6,519945,长信富安纯债一年定期开放债券A,纯债基金（封闭式）,2015/11/23,2018/6/19,,,,0P00016XE6
0P00016XE7,519944,长信富安纯债一年定期开放债券C,纯债基金（封闭式）,2015/11/23,2018/6/19,,,,0P00016XE7
0P00016XE8,1961,博时裕荣纯债债券,纯债基金,2015/11/6,2018/6/19,,1.0655,1.0655,0P00016XE8
0P00016XU5,1912,中欧强势多策略定期开放债券,普通债券型基金（封闭式）,2015/11/10,2018/6/19,,,,0P00016XU5
0P00016YQE,1729,银华逆向投资灵活配置定期开放混合,灵活配置型基金（封闭式）,2015/11/16,2018/6/19,,,,0P00016YQE
0P00016ZCK,1993,博时裕泰纯债债券,纯债基金,2015/11/19,2018/6/19,,1.0276,1.0276,0P00016ZCK
0P00016ZME,1999,博时安荣18 个月定期开放债券,纯债基金（封闭式）,2015/11/24,2018/6/19,,,,0P00016ZME
0P0001701P,2008,博时裕晟纯债债券,纯债基金,2015/11/19,2018/6/19,,1.0042,1.0042,0P0001701P
0P0001706J,2048,博时安誉18个月定期开放债券,纯债基金（封闭式）,2015/12/23,2018/6/19,,,,0P0001706J
0P0001706N,1681,新华积极价值灵活配置混合,灵活配置型基金,2015/12/21,2018/6/19,,,1.063,0P0001706N
0P000170NU,2095,博时新收益灵活配置混合A,灵活配置型基金,2016/2/4,2018/6/19,,1.0477,1.0477,0P000170NU
0P000170NZ,2096,博时新收益灵活配置混合C,灵活配置型基金,2016/2/4,2018/6/19,,1.0449,1.0449,0P000170NZ
0P000170YE,161229,国投瑞银中国价值发现股票QDII-LOF,环球股票,2015/12/21,2018/6/19,,,,0P000170YE
0P00017155,1976,海富通一年定期开放债券C,普通债券型基金（封闭式）,2015/11/23,2018/6/19,,,,0P00017155
0P000171JS,1964,诺安泰鑫一年定期开放债券C,纯债基金（封闭式）,2015/11/23,2018/6/19,,,,0P000171JS
0P000171JT,2166,华夏永福混合C,保守混合型基金,2015/11/23,2018/6/19,,,,0P000171JT
0P000172II,2198,博时裕达纯债债券,纯债基金,2015/12/3,2018/6/19,,1.0356,1.0356,0P000172II
0P000172MY,2206,博时裕康纯债债券,纯债基金,2015/12/3,2018/6/19,,1.002,1.002,0P000172MY
0P000172TV,2208,博时境源保本混合A,保本基金,2015/12/18,2018/6/19,,1.057,1.057,0P000172TV
0P000172TX,2209,博时境源保本混合C,保本基金,2015/12/18,2018/6/19,,1.052,1.052,0P000172TX
0P000173CE,501002,长信中证能源互联网主题指数(LOF),行业股票 - 科技、传媒及通讯,2016/1/21,2018/6/19,,0.684,0.684,0P000173CE
0P000173CG,2232,华夏新趋势灵活配置混合C,灵活配置型基金,2015/12/10,2018/6/19,,0,,0P000173CG
0P0001751I,1994,华安年年红定期开放债券C,普通债券型基金（封闭式）,2015/12/15,2018/6/19,,,,0P0001751I
0P0001755W,1645,国泰大健康股票,股票型基金,2016/2/3,2018/6/19,,1.505,1.505,0P0001755W
0P0001755X,1990,中欧数据挖掘多因子灵活配置混合A,灵活配置型基金,2016/1/13,2018/6/19,,0.9309,0.9309,0P0001755X
0P0001755Y,2224,中邮绝对收益策略定期开放混合,市场中性策略（封闭式）,2015/12/30,2018/6/19,,,,0P0001755Y
0P000175WM,342,嘉实新兴市场债券QDII - A1,环球债券,2013/11/26,2018/6/19,,,,0P000175WM
