FundClassId,Symbol,DisplayName,CategoryName,InceptionDate,PriceDate,MSPrice,csrsPrice,ourkuPrice,PerformanceId
0P0000OP9O,50015,博时大中华亚太精选股票(QDII) -人民币,亚太区不包括日本股票,2010/7/27,2018/6/15,,,1.261,0P0000OP9O
0P0000SOH1,50020,博时抗通胀增强回报(QDII-FOF),商品,2011/4/25,2018/6/15,,,0.499,0P0000SOH1
0P0000TDAO,270027,广发标普全球农业指数(QDII),行业股票,2011/6/28,2018/6/15,,,,0P0000TDAO
0P0000TVAH,320017,诺安全球收益不动产(QDII),行业股票,2011/9/23,2018/6/15,,,,0P0000TVAH
0P0000VYEJ,118002,易方达标普全球高端消费品指数增强A(QDII) - 人民币,行业股票,2012/6/4,2018/6/15,,,1.915,0P0000VYEJ
0P0000W3BO,50025,博时标普500ETF联接(QDII)A,美国股票,2012/6/14,2018/6/15,,,2.0263,0P0000W3BO
0P0000XUWJ,50030,博时亚洲票息收益债券QDII - 人民币,环球债券,2013/2/1,2018/6/15,,,,0P0000XUWJ
0P0000XUWK,50202,博时亚洲票息收益债券QDII - 美元现汇,环球债券,2013/2/1,2018/6/15,,,,0P0000XUWK
0P0000XWBR,50203,博时亚洲票息收益债券QDII - 美元现钞,环球债券,2013/2/1,2018/6/15,,,,0P0000XWBR
0P0000YXTB,40047,华安纳斯达克100指数QDII - 美元现钞,美国股票,2013/8/2,2018/6/15,,,0.3269,0P0000YXTB
0P0000YXTC,40048,华安纳斯达克100指数QDII - 美元现汇,美国股票,2013/8/2,2018/6/15,,,0.3269,0P0000YXTC
0P0000Z2MT,180,广发美国房地产指数QDII - 美元,行业股票,2013/8/9,2018/6/15,,,0.1725,0P0000Z2MT
0P0000ZP8C,275,广发亚太中高收益债券QDII - 美元,环球债券,2013/11/28,2018/6/15,,,0.1777,0P0000ZP8C
0P0000ZSU7,513500,博时标普500ETF(QDII),美国股票,2013/12/5,2018/6/15,,,1.6612,0P0000ZSU7
0P0000ZTGB,370,广发全球医疗保健(QDII) - 美元,行业股票,2013/12/10,2018/6/15,,,0.2036,0P0000ZTGB
0P00011IVR,486,嘉实1个月理财债券 - E,短债基金（封闭式）,2013/12/24,2018/6/15,,,,0P00011IVR
0P00011IXZ,485,嘉实1个月理财债券 - A,短债基金（封闭式）,2013/12/24,2018/6/15,,,,0P00011IXZ
0P00012K5R,593,易方达标普全球高端消费品指数增强(QDII)-美元现汇,行业股票,2014/3/28,2018/6/15,,,0.2978,0P00012K5R
0P000142W0,783,博时月月盈短期理财债券 - A,短债基金（封闭式）,2014/9/22,2018/6/15,,,,0P000142W0
0P000142W1,784,博时月月盈短期理财债券 - R,短债基金（封闭式）,2014/9/22,2018/6/15,,,,0P000142W1
0P000150I9,927,博时大中华亚太精选股票(QDII) - 美元现汇,亚太区不包括日本股票,2014/12/3,2018/6/15,,,0.1961,0P000150I9
0P0001586F,885,广发标普全球农业指数(QDII)美元现汇,行业股票,2015/1/16,2018/6/15,,,,0P0001586F
0P0001586G,906,广发全球精选股票(QDII)美元现汇,环球股票,2015/1/16,2018/6/15,,,0.2647,0P0001586G
0P0001586H,55,广发纳斯达克100指数(QDII)美元现汇,美国股票,2015/1/16,2018/6/15,,,0.3334,0P0001586H
0P00015G6P,1093,广发纳斯达克生物科技指数(QDII)（美元）,行业股票,2015/3/30,2018/6/15,,,0.1502,0P00015G6P
0P00015KA8,990,嘉实全球互联网股票 - 美元现钞QDII,行业股票,2015/4/15,2018/6/15,,,1.481,0P00015KA8
0P00016456,1368,兴业稳固收益一年理财债券,短债基金（封闭式）,2015/6/10,2018/6/15,,,,0P00016456
0P000168OB,1481,华宝油气(QDII)美元,行业股票,2015/6/18,2018/6/15,,,0.1,0P000168OB
0P00016C39,1523,博时新策略灵活配置混合C,灵活配置型基金,2015/11/23,2018/6/15,,0,,0P00016C39
0P00016J5S,1785,民生加银岁岁增利债券 - D,纯债基金（封闭式）,2015/8/17,2018/6/15,,0,,0P00016J5S
0P00016VH9,1934,国泰全球绝对收益(QDII) 美元现钞,其它,2015/12/3,2018/6/15,,,,0P00016VH9
0P000171JT,2166,华夏永福混合C,保守混合型基金,2015/11/23,2018/6/15,,,,0P000171JT
0P000173CG,2232,华夏新趋势灵活配置混合C,灵活配置型基金,2015/12/10,2018/6/15,,0,,0P000173CG
0P00017IG5,2392,华安全球美元收益债券QDII 美元现汇A,环球债券,2016/3/23,2018/6/15,,,0.1591,0P00017IG5
0P00017J8U,2423,华宝兴业标普美国消费(QDII-LOF)美元,行业股票,2016/3/18,2018/6/15,,,0.2148,0P00017J8U
0P00017SVN,519939,长信海外收益一年定期开放债券(QDII)人民币,环球债券（封闭式）,2016/5/19,2018/6/15,,,,0P00017SVN
0P000180AE,2427,华安全球美元票息债券(QDII)美元现汇A,环球债券,2016/6/3,2018/6/15,,,0.1566,0P000180AE
0P000187Q2,1274,民生加银新动力灵活配置混合D,灵活配置型基金,2015/5/18,2018/6/15,,0,,0P000187Q2
0P00018J2P,2834,华夏新锦绣灵活配置混合C,灵活配置型基金,2016/8/24,2018/6/15,,,,0P00018J2P
0P000196SP,3718,易方达标普500指数(QDII-LOF) 美元,美国股票,2016/12/2,2018/6/15,,,,0P000196SP
0P000196SR,3719,易方达标普医疗保健指数(QDII-LOF) 美元,行业股票,2016/11/28,2018/6/15,,,,0P000196SR
0P000197B2,3630,上投摩根全球多元配置（QDII）美元现钞,环球股债混合,2016/12/19,2018/6/15,,,,0P000197B2
0P000197B3,3631,上投摩根全球多元配置（QDII）美元现汇,环球股债混合,2016/12/19,2018/6/15,,,,0P000197B3
0P000197VT,3720,易方达标普生物科技指数（QDII-LOF）美元,行业股票,2016/12/13,2018/6/15,,,,0P000197VT
0P000197VV,3721,易方达标普信息科技指数（QDII-LOF）美元,行业股票,2016/12/13,2018/6/15,,,,0P000197VV
0P0001985N,3322,易方达原油（QDII-LOF）A美元,商品,2016/12/19,2018/6/15,,,,0P0001985N
0P0001985P,3323,易方达原油（QDII-LOF）C美元,商品,2016/12/19,2018/6/15,,,,0P0001985P
0P00019MUA,1066,华夏海外收益债券(QDII) - A 美元现钞,环球债券,2012/12/7,2018/6/15,,,0.1823,0P00019MUA
0P0001A8VS,3879,嘉实6个月理财债券A,短债基金（封闭式）,2017/6/19,2018/6/15,,,,0P0001A8VS
0P0001A8VT,4356,嘉实6个月理财债券B,短债基金（封闭式）,2017/6/19,2018/6/15,,,,0P0001A8VT
0P0001ABM3,3722,易方达纳斯达克100指数美元（QDII-LOF）,美国股票,2017/6/23,2018/6/15,,,,0P0001ABM3
0P0001BCBK,4878,汇添富全球医疗保健混合(QDII)美元现汇,环球股债混合,2017/8/16,2018/6/15,,,,0P0001BCBK
0P0001BCBL,4879,汇添富全球医疗保健混合(QDII)美元现钞,环球股债混合,2017/8/16,2018/6/15,,,,0P0001BCBL
0P0001BODZ,5218,华夏聚惠稳健目标风险混合型基金中基金（FOF）A,保守混合型基金,2017/11/3,2018/6/15,,,,0P0001BODZ
